case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Lang_37,20251218_075532,20251218_075543,0.019799689465108905,0.019526223982617143,0.03932591344772605
Closure_44,20251218_075532,20251218_075543,0.02023674149747956,0.01899813183604248,0.03923487333352204
Chart_17,20251218_075532,20251218_075543,0.01999638673318027,0.019153814110151844,0.039150200843332116
JacksonDatabind_107,20251218_075532,20251218_075543,0.019310970466319688,0.019031032998908282,0.03834200346522797
JacksonXml_4,20251218_075532,20251218_075543,0.019356784059987753,0.01888738215787733,0.03824416621786508
Closure_82,20251218_075532,20251218_075543,0.01904961742472322,0.018650703985565266,0.037700321410288486
Math_2,20251218_075532,20251218_075543,0.01899357375118038,0.018501293659210202,0.037494867410390584
Jsoup_41,20251218_075532,20251218_075543,0.01900437699999946,0.018215583014885073,0.037219960014884534
Compress_47,20251218_075532,20251218_075543,0.018784051534162405,0.018403282337905495,0.0371873338720679
Compress_24,20251218_075532,20251218_075543,0.018993492673620826,0.018089726482063757,0.037083219155684584
Jsoup_1,20251218_075532,20251218_075543,0.01865056930955089,0.01821735769255549,0.03686792700210638
Closure_118,20251218_075532,20251218_075543,0.018620032705677136,0.018244506789182678,0.036864539494859815
Compress_25,20251218_075532,20251218_075543,0.018728120888088284,0.01810979514028512,0.0368379160283734
Closure_125,20251218_075532,20251218_075543,0.018497360230055104,0.01824928880387909,0.036746649033934195
Collections_17,20251218_075532,20251218_075543,0.01878249725714265,0.01793222203213944,0.03671471928928209
JacksonDatabind_39,20251218_075532,20251218_075543,0.018499542595032503,0.018054313516959422,0.036553856111991925
JacksonDatabind_101,20251218_075532,20251218_075543,0.018347529503295767,0.018143886440905165,0.03649141594420093
Collections_8,20251218_075532,20251218_075543,0.01799321271931853,0.017574077539316214,0.03556729025863474
Closure_31,20251218_075532,20251218_075543,0.017854324117725584,0.01768954694244529,0.03554387106017087
Closure_110,20251218_075532,20251218_075543,0.017829303980222644,0.017585933202734362,0.035415237182957006
Closure_127,20251218_075532,20251218_075543,0.017808173338785593,0.017503791914981595,0.03531196525376719
JacksonDatabind_2,20251218_075532,20251218_075543,0.017719282159298855,0.01732284059697875,0.035042122756277605
Time_5,20251218_075532,20251218_075543,0.017645952859865366,0.01737912674287155,0.03502507960273692
Closure_75,20251218_075532,20251218_075543,0.017500576338421725,0.01706454953663892,0.034565125875060644
Mockito_28,20251218_075532,20251218_075543,0.01742211271421712,0.01696603185694927,0.03438814457116639
Jsoup_13,20251218_075532,20251218_075543,0.01729890634916109,0.01703692364926432,0.03433582999842541
Lang_19,20251218_075532,20251218_075543,0.0173206953850229,0.016950928248671407,0.034271623633694306
Compress_6,20251218_075532,20251218_075543,0.01725534402664919,0.016997525336939413,0.0342528693635886
Gson_5,20251218_075532,20251218_075543,0.017057975834052996,0.016799937307548064,0.03385791314160106
Math_55,20251218_075532,20251218_075543,0.016723962156326655,0.016498513219660282,0.03322247537598694
Gson_13,20251218_075532,20251218_075543,0.01667895530060015,0.01650336417502597,0.033182319475626124
Lang_54,20251218_075532,20251218_075543,0.01672122738442905,0.016317310244181833,0.03303853762861088
JacksonDatabind_45,20251218_075532,20251218_075543,0.01659457418668908,0.016326382747700388,0.03292095693438947
Mockito_21,20251218_075532,20251218_075543,0.016614130283157058,0.016181760660213533,0.03279589094337059
JacksonDatabind_98,20251218_075532,20251218_075543,0.016348879952369,0.016161159675499998,0.032510039627869
Math_46,20251218_075532,20251218_075543,0.01630260355630453,0.016068014968714614,0.03237061852501914
Cli_28,20251218_075532,20251218_075543,0.01611667850752907,0.015914489363160582,0.03203116787068965
Lang_39,20251218_075532,20251218_075543,0.016043486192445666,0.01588738851302268,0.03193087470546835
Math_34,20251218_075532,20251218_075543,0.015938097562281817,0.01563581980137837,0.031573917363660185
Closure_1,20251218_075532,20251218_075543,0.015856371903517408,0.01563756618502628,0.031493938088543685
Closure_135,20251218_075532,20251218_075543,0.015856544203752376,0.015468155511943391,0.031324699715695764
Compress_13,20251218_075532,20251218_075543,0.016340644167992968,0.014948542250527275,0.03128918641852024
Compress_1,20251218_075532,20251218_075543,0.015763638332048968,0.015417118046594703,0.03118075637864367
Compress_46,20251218_075532,20251218_075543,0.015685885911072228,0.015339373343048236,0.031025259254120464
Gson_14,20251218_075532,20251218_075543,0.01596015816939822,0.014906057233515117,0.030866215402913337
Mockito_30,20251218_075532,20251218_075543,0.015486779023163644,0.015072703935650154,0.030559482958813798
